grid80,AtBlckGlz,Balearic,CamBlckGlzA,CamBlckGlzB,CmedPuAm,EbBlckGlz,EbPuAm,EbPuCom,GrItAm,IbAm,IbCom,ItAm,ItCom,MasAm,PuAm,PuCom,SoItVesCaAm
364,0.0,0.0,0.0,0.0,0.0,0.0,41.5,11.0,0.0,0.0,0.0,27.39,0.0,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0,155.44,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0,0.0,0.0,12.8,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,0.0,10.5,0.0,0.0,0.0,0.0,76.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,233.89999999999998,0.0,0.0,50.2,0.0,916.4000000000001,12.5,41.2,0.0,0.0,177.29999999999998,63.3,0.0,36.2,0.0,109.60000000000001
420,0.0,0.0,0.0,0.0,0.0,0.0,79.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
425,0.0,43.6,0.0,0.0,0.0,0.0,88.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,0.0,238.90000000000003,3.7,0.0,0.0,0.0,642.8999999999999,2.8,0.0,0.0,0.0,139.8,0.0,0.0,0.0,0.0,30.9
427,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0
442,0.0,0.0,0.0,0.0,0.0,0.0,102.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,102.28,0.0,0.0,0.0,0.0,74.38999999999999,0.0,0.0,0.0,0.0,71.72,0.0,0.0,0.0,0.0,19.08
499,0.0,355.6,0.0,0.0,0.0,0.0,304.84,45.6,0.0,0.0,0.0,388.51,7.3,0.0,0.0,10.3,0.0
517,0.0,90.6,0.0,0.0,0.0,0.0,11.3,3.1,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,9.09,460.66999999999996,1.9,0.0,0.0,0.0,117.2,0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0
561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0
604,0.0,20.3,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,0.0
627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75,0.0,0.0,0.0,0.0,0.0
634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39,0.0,0.0,0.0,0.0,0.0,0.0
637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0
642,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.85
667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.379999999999999,0.0,0.0,0.0,50.6,0.0,0.0,0.0,0.0,87.87
668,0.0,0.0,0.0,0.0,0.0,0.0,108.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,0.0,0.0,0.0,0.0,0.0,0.0,120.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14,0.0,0.0,0.0,0.0,0.0
691,0.0,6.0,0.0,0.0,0.0,0.0,18.1,33.37,0.0,0.0,0.0,87.9,0.0,0.0,0.0,0.0,12.95
692,0.0,47.8,0.0,0.0,0.0,36.3,66.8,15.3,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,16.8
693,0.0,8.5,0.0,0.0,0.0,17.200000000000003,422.49999999999994,0.0,60.4,0.0,0.0,550.05,0.0,0.0,0.0,0.0,608.8000000000001
694,0.0,0.0,0.0,0.0,0.0,0.0,186.11,0.0,0.0,0.0,0.0,406.09999999999997,0.0,0.0,0.0,0.0,166.0
699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
