SurveyPointId,Easting,Northing,AtBlckGlz,Balearic,CamBlckGlzA,CamBlckGlzB,CmedPuAm,EbBlckGlz,EbPuAm,EbPuCom,GrItAm,IbAm,IbCom,ItAm,ItCom,MasAm,PuAm,PuCom,SoItVesCaAm,Biclst,dbscan
044380-62-406,532253.84,4386967.95,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
044380-62-408,532233.1,4386962.53,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
044380-68-402,532262.93,4386949.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,0.0,0.0,0.0,0.0,0.0,0,1
044380-68-403,532252.82,4386946.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.68,0.0,0.0,0.0,0.0,0.0,0,1
04439d-69-211,532324.75,4386921.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
044420-55-001,532124.95,4387152.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0,2
044420-58-002,532107.32,4387161.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0,2
044420-64-004,532105.54,4387136.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0,2
04496A-13-305,532230.54,4386824.22,0.0,0.0,0.0,0.0,39.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
046830-13-106,532975.5,4386061.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
046830-14-016,533126.25,4386093.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0,-1
046830-14-024,533069.45,4386049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
046830-42-021,533048.08,4386090.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0,-1
046830-44-026,532955.22,4386089.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0,-1
04686a-39-302,532663.76,4386774.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
04708b-14-102,532149.94,4387085.6,0.0,0.0,0.0,0.0,0.0,0.0,16.169999999999998,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
04708b-14-103,532157.52,4387078.75,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,0.0,0.0,0,2
04708b-62-102,532146.89,4387077.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0,2
04708b-64-101,532138.66,4387074.79,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,0,2
04708b-64-102,532146.47,4387075.04,0.0,0.0,0.0,0.0,0.0,0.0,110.4,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
04708b-66-103,532182.27,4387091.06,0.0,0.0,0.0,0.0,0.0,0.0,39.74,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
04708c-50-001,532165.28,4387111.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
04708c-50-003,532153.93,4387125.01,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
