SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
04439d-69-211,532324.75,4386921.85,0.0,0.0,1.0,0.0
044420-55-001,532124.95,4387152.31,1.0,0.0,0.0,0.0
044420-58-002,532107.32,4387161.0,1.0,0.0,0.0,0.0
044420-64-004,532105.54,4387136.02,1.0,0.0,0.0,0.0
04496A-13-305,532230.54,4386824.22,1.0,0.0,0.0,0.0
046830-13-106,532975.5,4386061.7,0.0,0.0,1.0,0.0
046830-14-016,533126.25,4386093.75,1.0,0.0,0.0,0.0
046830-14-024,533069.45,4386049.0,0.0,0.0,1.0,0.0
046830-42-021,533048.08,4386090.42,1.0,0.0,1.0,0.0
046830-44-026,532955.22,4386089.46,1.0,0.0,0.0,0.0
04686a-39-302,532663.76,4386774.67,0.0,0.0,1.0,0.0
04708b-14-102,532149.94,4387085.6,1.0,0.0,1.0,0.0
04708b-14-103,532157.52,4387078.75,1.0,0.0,0.0,0.0
04708b-62-102,532146.89,4387077.6,1.0,0.0,1.0,0.0
04708b-64-101,532138.66,4387074.79,1.0,0.0,0.0,0.0
04708b-64-102,532146.47,4387075.04,1.0,0.0,1.0,0.0
04708b-66-103,532182.27,4387091.06,1.0,0.0,1.0,0.0
04708c-50-001,532165.28,4387111.16,0.0,0.0,1.0,0.0
04708c-50-003,532153.93,4387125.01,1.0,0.0,0.0,0.0
04708c-53-004,532125.0,4387120.23,1.0,0.0,0.0,0.0
04708c-56-002,532140.63,4387116.08,1.0,0.0,0.0,0.0
04708c-57-002,532153.61,4387111.14,1.0,0.0,0.0,0.0
04708c-57-003,532147.56,4387120.77,1.0,0.0,0.0,0.0
04708c-57-004,532138.59,4387132.5,1.0,0.0,0.0,0.0
04708c-63-002,532151.21,4387296.7,1.0,0.0,0.0,0.0
04708c-63-004,532153.45,4387295.04,0.0,0.0,1.0,0.0
04708c-65-001,532130.47,4387082.52,0.0,1.0,0.0,0.0
04759b-13-112,532816.1,4386276.29,0.0,0.0,1.0,0.0
04759b-41-022,532912.01,4386077.52,1.0,0.0,0.0,0.0
05071a-50-101,531989.82,4387111.15,1.0,0.0,0.0,0.0
05071a-50-102,531983.1,4387108.13,1.0,0.0,0.0,0.0
