SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
11025a-83-105,530826.79,4387457.1,0.0,0.0,6.2,0.0
110360-05-001,530444.72,4387139.72,18.5,0.0,0.0,0.0
110360-05-002,530439.97,4387147.02,26.3,0.0,0.0,0.0
110360-73-007,530407.42,4387133.13,25.3,0.0,0.0,0.0
110360-75-008,530369.94,4387104.68,0.0,10.6,0.0,0.0
110360-78-013,530422.56,4387146.18,24.6,0.0,0.0,0.0
11050a-78-105,530633.95,4387591.51,0.0,0.0,8.5,0.0
11097a-73-004,530122.77,4388208.24,0.0,0.0,27.39,0.0
11117a-14-006,530006.38,4388459.83,0.0,0.0,120.4,0.0
111260-74-304,529808.49,4388357.4,26.4,0.0,0.0,0.0
111260-84-301,529846.86,4388331.8,13.5,0.0,0.0,0.0
111270-73-203,529862.43,4388388.91,28.1,0.0,0.0,0.0
11140d-34-006,530909.49,4386972.09,0.0,0.0,4.91,0.0
15001a-05-038,529171.3,4389791.34,15.4,0.0,0.0,0.0
15001a-14-216,528986.08,4389907.17,23.8,0.0,4.6,0.0
15001a-14-224,528955.81,4389859.67,0.0,0.0,5.2,0.0
15001a-14-227,528985.39,4389862.11,23.0,0.0,0.0,0.0
15001a-16-133,529205.14,4389664.19,35.5,0.0,0.0,0.0
15001a-16-236,529090.01,4389852.49,9.0,0.0,0.0,0.0
15001a-20-131,529226.81,4389944.69,33.6,0.0,0.0,0.0
15001a-21-133,529194.73,4389675.45,0.0,0.0,6.5,0.0
15001a-21-217,528966.93,4389913.98,4.1,0.0,0.0,0.0
15001a-22-221,528952.94,4389800.67,57.1,0.0,0.0,0.0
15001a-22-222,528960.2,4389802.74,8.3,0.0,0.0,0.0
160020-42-409,529703.88,4389563.3,12.71,0.0,0.0,0.0
160040-14-005,529751.48,4389478.47,11.2,0.0,0.0,0.0
160080-40-302,529639.53,4389342.53,20.01,0.0,4.3,0.0
16041c-39-402,530162.28,4388790.51,0.0,0.0,10.14,0.0
160830-82-003,530611.74,4388150.24,90.9,0.0,0.0,0.0
160830-84-008,530576.48,4388235.11,24.4,0.0,0.0,0.0
160840-80-406,530363.05,4388745.58,19.3,0.0,0.0,0.0
160870-05-009,530444.26,4388842.01,16.0,0.0,0.0,0.0
160870-71-502,530501.86,4388790.96,16.1,0.0,0.0,0.0
160870-80-506,530464.14,4388783.49,7.8,0.0,0.0,0.0
160870-82-504,530467.24,4388803.15,0.0,0.0,6.9,0.0
160880-71-201,530354.94,4388864.52,16.8,0.0,0.0,0.0
160890-74-101,530439.89,4388862.86,38.5,0.0,0.0,0.0
160890-74-103,530431.07,4388879.14,16.4,0.0,0.0,0.0
160910-80-004,530307.52,4388925.04,8.4,0.0,0.0,0.0
160910-82-003,530302.94,4388932.02,93.3,0.0,0.0,0.0
16094a-37-204,530734.47,4388293.45,26.46,0.0,0.0,0.0
16094b-05-303,530828.52,4388450.94,10.21,0.0,0.0,0.0
16094b-05-306,530794.31,4388442.49,139.8,0.0,0.0,0.0
16094b-14-001,530792.13,4388464.93,403.52,0.0,0.0,0.0
16094b-14-002,530793.23,4388469.93,207.4,0.0,30.06,0.0
16094b-14-003,530789.24,4388480.35,148.7,0.0,8.5,0.0
16094b-14-004,530790.4,4388490.01,175.42,0.0,0.0,0.0
16094b-14-301,530892.75,4388428.71,43.2,0.0,0.0,0.0
16094b-14-302,530891.6,4388436.03,0.0,3.3,0.0,0.0
16094b-14-303,530899.39,4388441.06,26.34,0.0,0.0,0.0
16094b-14-305,530888.57,4388464.99,27.59,0.0,0.0,0.0
16094b-14-306,530890.43,4388473.32,276.9,0.0,5.1,0.0
16094b-14-310,530787.46,4388452.26,66.4,0.0,0.0,0.0
16094b-33-309,530839.4,4388508.85,8.6,0.0,22.050000000000004,0.0
16094b-34-101,530781.13,4388468.44,179.5,0.0,9.3,0.0
16094b-34-102,530783.76,4388477.88,36.8,0.0,6.2,0.0
16094b-34-103,530786.05,4388484.66,24.9,0.0,0.0,0.0
16094b-34-109,530906.89,4388410.45,0.0,0.0,31.97,0.0
16094b-34-110,530910.43,4388405.92,18.1,6.0,1.4,0.0
16094b-34-113,530894.13,4388297.75,50.6,0.0,0.0,0.0
16094b-34-114,530887.57,4388308.49,0.0,0.0,12.79,0.0
16094b-34-301,530882.9,4388424.9,7.7,0.0,0.0,0.0
16094b-34-302,530883.79,4388438.44,0.0,0.0,4.7,0.0
16094b-34-305,530879.05,4388464.39,26.3,0.0,0.0,0.0
16094b-34-306,530878.14,4388476.38,12.72,0.0,0.0,0.0
16094b-34-307,530874.15,4388487.35,16.7,0.0,70.69999999999999,0.0
16094b-34-308,530876.79,4388493.02,164.25,4.91,0.0,0.0
16094b-35-102,530753.73,4388434.48,76.71000000000001,0.0,0.0,0.0
16094b-35-109,530890.59,4388389.86,87.9,0.0,0.0,0.0
16094b-35-114,530840.11,4388310.97,27.85,0.0,0.0,0.0
16094b-35-302,530851.28,4388434.65,49.5,0.0,0.0,0.0
16094b-35-304,530853.6,4388456.52,130.69,0.0,0.0,0.0
16094b-35-305,530852.79,4388464.73,0.0,0.0,62.379999999999995,0.0
16094b-35-306,530851.12,4388474.16,45.900000000000006,0.0,0.0,0.0
16094b-35-308,530852.86,4388492.03,76.0,0.0,5.7,0.0
16094b-35-309,530852.13,4388502.35,28.37,0.0,0.0,0.0
16094b-36-101,530769.55,4388469.17,11.9,0.0,0.0,0.0
16094b-36-303,530860.55,4388455.88,9.13,0.0,0.0,0.0
16094b-36-304,530859.22,4388466.31,35.5,0.0,0.0,0.0
16094b-36-305,530859.79,4388473.19,86.74,0.0,0.0,0.0
16094b-37-101,530744.6,4388464.97,85.87,0.0,0.0,0.0
16094b-37-304,530923.53,4388455.14,116.4,0.0,0.0,0.0
16094b-37-314,530807.95,4388479.54,0.0,0.0,7.5,0.0
16094b-37-316,530810.8,4388494.53,141.1,0.0,0.0,0.0
16094b-42-301,530873.96,4388428.97,126.4,0.0,0.0,0.0
16094b-42-302,530872.47,4388436.62,113.84,0.0,0.0,0.0
16094b-42-303,530868.58,4388442.38,33.35,0.0,0.0,0.0
16094b-42-305,530870.47,4388464.14,155.91,0.0,51.66,0.0
16094b-42-307,530870.39,4388483.45,11.62,0.0,0.0,0.0
16094b-42-308,530867.86,4388494.2,9.3,0.0,0.0,0.0
16094b-42-309,530866.98,4388500.86,14.4,0.0,0.0,0.0
16094b-43-107,530771.05,4388394.48,60.14,0.0,0.0,0.0
16094b-44-101,530762.27,4388464.7,0.0,0.0,13.9,0.0
16094b-44-104,530751.52,4388429.37,58.0,0.0,0.0,0.0
16094b-44-107,530880.96,4388329.0,0.0,0.0,0.59,0.0
16094b-44-108,530884.35,4388339.67,12.95,0.0,0.0,0.0
16094b-44-110,530849.03,4388290.25,49.97,0.0,0.0,0.0
16094b-44-301,530902.35,4388432.08,10.5,0.0,0.0,0.0
16094b-44-303,530904.24,4388450.73,14.04,0.0,0.0,0.0
16094b-44-307,530900.04,4388493.11,78.5,0.0,0.0,0.0
16094b-46-101,530751.47,4388462.11,73.0,0.0,0.0,0.0
16094b-46-102,530753.58,4388470.44,18.4,0.0,8.6,0.0
16094b-46-108,530903.21,4388323.32,37.9,0.0,0.0,0.0
16094b-46-303,530921.06,4388450.02,37.98,0.0,0.0,0.0
16094b-46-310,530816.4,4388445.83,18.19,0.0,0.0,0.0
16094b-46-311,530818.43,4388453.72,192.82,0.0,0.0,0.0
16094b-46-320,530816.91,4388490.23,41.2,0.0,0.0,0.0
16094b-46-321,530819.63,4388498.01,86.6,0.0,0.0,0.0
16094b-46-324,530830.5,4388525.91,0.0,0.0,2.86,0.0
16094b-47-307,530826.52,4388425.56,10.6,0.0,0.0,0.0
16094b-47-313,530828.1,4388502.15,229.07,0.0,0.0,0.0
16094b-47-316,530850.62,4388514.11,217.16,0.0,30.8,0.0
16094b-48-101,530800.07,4388474.62,63.5,0.0,0.0,0.0
16094b-48-102,530801.15,4388482.84,7.98,0.0,0.0,0.0
16094e-01-004,530997.5092,4388216.372,18.7,0.0,0.0,0.0
16094e-01-118,530955.9085,4388366.549,0.0,47.8,0.0,0.0
16094e-01-129,531003.1521,4388287.843,108.1,0.0,0.0,0.0
16094e-06-101,531008.1013,4388475.229,116.2,0.0,0.0,0.0
16094e-06-112,530952.3736,4388405.058,0.0,0.0,7.8,0.0
16094e-07-002,531002.9328,4388267.283,0.0,0.0,2.4,0.0
16094e-08-106,530946.0891,4388438.792,31.9,0.0,0.0,0.0
16094e-08-110,530976.1566,4388372.966,0.0,0.0,0.0,36.3
16094e-13-012,531014.7681,4388255.952,120.9,0.0,0.0,0.0
16094e-13-106,530952.2454,4388449.506,0.0,0.0,49.6,0.0
16094f-34-204,531017.86,4387978.72,0.0,0.0,32.5,0.0
161000-14-009,530846.75,4388774.25,31.5,0.0,0.0,0.0
161000-14-016,530932.68,4388826.42,0.0,0.0,3.0,0.0
161000-53-012,530941.53,4388801.04,12.58,0.0,0.0,0.0
161000-55-001,530972.39,4388765.98,57.8,0.0,0.0,0.0
161000-55-002,530975.69,4388756.01,9.399999999999999,0.0,0.0,0.0
161000-55-110,531005.23,4388897.97,0.0,0.0,43.5,0.0
161000-55-121,531052.92,4388839.11,23.3,0.0,0.0,0.0
161000-57-015,530875.05,4388819.86,0.0,0.0,3.7,0.0
161000-57-111,530973.16,4388917.04,95.79,0.0,0.0,0.0
161000-61-005,530980.69,4388728.72,43.4,0.0,0.0,0.0
161000-61-006,530897.68,4388738.94,30.2,0.0,0.0,0.0
161000-61-007,530903.3,4388729.3,21.17,0.0,3.9,0.0
161000-61-008,530909.0,4388719.0,0.0,0.0,5.52,0.0
161000-62-122,531072.54,4388761.17,0.0,0.0,39.1,0.0
161060-53-211,530700.66,4388745.81,136.6,0.0,0.0,0.0
161070-14-304,530685.08,4388845.41,0.0,0.0,1.2,0.0
161070-14-306,530675.39,4388864.68,16.83,0.0,0.0,0.0
161070-55-303,530657.92,4388814.22,6.3,0.0,0.0,0.0
161070-58-301,530708.47,4388831.52,9.97,0.0,0.0,0.0
161080-68-103,530668.22,4388941.57,8.0,0.0,0.0,0.0
161100-13-001,530585.66,4389083.22,24.81,0.0,0.0,0.0
161100-13-002,530589.51,4389072.92,56.72,0.0,0.0,0.0
161100-13-004,530597.57,4389055.58,43.09,0.0,0.0,0.0
161100-13-005,530597.91,4389045.74,38.7,0.0,27.700000000000003,0.0
161100-13-009,530616.7,4389003.8,22.4,0.0,0.0,0.0
161100-14-001,530557.9,4389090.74,117.98,0.0,0.0,0.0
161100-14-002,530561.02,4389081.87,54.2,0.0,19.0,0.0
161100-14-003,530557.29,4389071.87,86.7,0.0,0.0,0.0
161100-14-005,530565.1,4389049.15,51.5,0.0,0.0,0.0
161100-14-006,530569.44,4389037.18,0.0,0.0,7.8,0.0
161100-50-009,530610.19,4388985.41,16.3,0.0,0.0,0.0
161100-51-004,530587.46,4389056.89,32.9,0.0,0.0,0.0
161100-51-005,530587.41,4389047.12,9.4,0.0,0.0,0.0
161100-68-001,530570.17,4389089.12,66.6,0.0,0.0,0.0
161100-69-002,530593.44,4389084.0,63.83,0.0,0.0,0.0
161100-69-003,530597.02,4389069.69,98.5,0.0,0.0,0.0
161110-50-201,530613.49,4389085.17,0.0,0.0,4.5,0.0
161110-50-202,530560.37,4389095.87,83.1,0.0,22.6,0.0
161110-50-203,530561.98,4389106.9,491.6,0.0,4.3,0.0
161110-50-204,530558.19,4389114.26,145.0,0.0,0.0,0.0
161110-51-201,530593.43,4389088.32,203.6,0.0,0.0,0.0
161110-52-201,530584.25,4389088.95,3.17,0.0,6.03,0.0
161110-59-301,530570.59,4389092.9,327.9,73.0,6.0,0.0
161110-59-303,530574.46,4389111.78,561.3999999999999,0.0,21.4,0.0
16127a-01-001,530396.6,4388613.9,116.49999999999999,14.5,0.0,0.0
16127a-01-002,530399.9,4388568.3,208.29999999999998,3.2,0.0,0.0
16127a-01-003,530403.2,4388548.4,128.20000000000002,0.0,0.0,0.0
16127a-01-005,530406.0,4388639.6,88.7,0.0,0.0,0.0
16127a-01-007,530395.7,4388631.5,22.2,0.0,0.0,0.0
16127a-01-009,530413.8,4388605.8,15.0,4.9,0.0,0.0
16127a-01-010,530405.7,4388590.1,14.899999999999999,0.0,0.0,0.0
16127a-01-016,530352.1,4388555.9,0.0,18.7,0.0,0.0
16127a-01-017,530346.3,4388556.2,136.10000000000002,0.0,0.0,0.0
16127a-01-018,530331.9,4388566.0,247.30000000000004,11.5,31.5,0.0
16127a-01-020,530330.8,4388573.3,5.6,0.0,3.8,0.0
16127a-01-021,530327.0,4388581.0,50.2,8.9,0.0,0.0
16127a-03-001,530414.0,4388595.3,147.60000000000002,0.0,0.0,0.0
16127a-03-003,530397.9,4388627.5,21.5,0.0,0.0,0.0
16127a-03-004,530395.1,4388637.0,18.8,0.0,0.0,0.0
16127a-03-005,530404.8,4388621.0,1.4,0.0,0.0,0.0
16127a-03-006,530399.6,4388585.0,164.0,0.0,0.0,0.0
16127a-08-001,530384.4,4388609.0,114.30000000000001,17.099999999999998,0.0,0.0
16127a-08-002,530362.1,4388618.4,0.0,17.8,0.0,0.0
16127a-08-003,530338.4,4388603.5,44.8,48.24,0.0,0.0
16127a-08-005,530346.8,4388629.6,0.0,2.3,0.0,0.0
16127a-09-001,530405.7,4388592.8,236.7,0.0,0.0,0.0
16127a-09-002,530393.0,4388578.0,107.6,0.0,0.0,0.0
16127a-09-003,530390.4,4388568.4,163.9,5.2,0.0,0.0
16127a-09-004,530411.0,4388628.2,212.7,0.0,0.0,0.0
16127a-09-005,530414.5,4388621.1,380.1,5.6,0.0,0.0
16127a-10-001,530398.3,4388597.7,0.0,2.0,0.0,0.0
16127a-10-002,530380.9,4388607.2,42.7,0.0,0.0,0.0
16127a-10-003,530346.2,4388609.7,24.5,0.0,0.0,0.0
16127a-10-012,530366.0,4388574.7,80.1,0.7,0.0,0.0
16127a-10-013,530362.9,4388571.7,104.2,0.0,0.0,0.0
16127a-10-014,530354.7,4388588.2,171.89999999999998,47.300000000000004,0.0,1.9
16127a-11-001,530371.7,4388560.9,0.0,4.5,0.0,0.0
16127a-11-002,530352.8,4388548.6,0.0,5.7,0.0,0.0
16127a-11-003,530336.2,4388556.1,232.70000000000002,65.9,0.0,0.0
16127a-12-002,530369.5,4388625.9,20.6,43.199999999999996,0.0,0.0
16127a-12-003,530344.5,4388620.0,169.3,76.9,48.99999999999999,0.0
16127a-12-004,530313.5,4388614.2,0.0,23.1,0.0,0.0
